col1,col2,col3,col4,col5,col6,col7,venue_type
Osaka-jo Hall,"16,000",Osaka, Japan,,,,Indoor Arena
Axiata Arena,"16,000",Kuala Lumpur,Malaysia,,,,Indoor Arena
Fernando Buesa Arena,"15,716",Vitoria-Gasteiz, Spain,,,,Indoor Arena
Accor Arena,"15,609",Paris, France,,,,Indoor Arena
Save Mart Center at Fresno State,"15,596","Fresno, California", United States,,,,Indoor Arena
PeoplesBank Arena,"15,564","Hartford, Connecticut", United States,,,,Indoor Arena
Pinnacle Bank Arena,"15,500","Lincoln, Nebraska", United States,,,,Indoor Arena
Perth Arena,"15,500",Perth, Australia,,,,Indoor Arena
Olympiahalle,"15,500",Munich, Germany,,,,Indoor Arena
Aspire Dome,"15,500",Doha,Qatar,,,,Indoor Arena
Farmasi Arena,"15,430",Rio de Janeiro,Brazil,,,,Indoor Arena
Žalgiris Arena,"15,415",Kaunas,Lithuania,,,,Indoor Arena
Bizkaia Arena,"15,414",Barakaldo, Spain,,,,Indoor Arena
The Pit,"15,411","Albuquerque, New Mexico", United States,,,,Indoor Arena
Rod Laver Arena,"15,400",Melbourne, Australia,,,,Indoor Arena
Coleman Coliseum,"15,383","Tuscaloosa, Alabama", United States,,,,Indoor Arena
Westfalenhalle,"15,380",Dortmund, Germany,,,,Indoor Arena
Arena Sofia,"15,373",Sofia,Bulgaria,,,,Indoor Arena
Canada Life Centre,"15,321",Winnipeg, Canada,,,,Indoor Arena
Allen Fieldhouse,"15,300","Lawrence, Kansas", United States,,,,Indoor Arena
Lusail Sports Arena,"15,300",Lusail,Qatar,,,,Indoor Arena
Bryce Jordan Center,"15,261","University Park, Pennsylvania", United States,,,,Indoor Arena
MVP Arena,"15,229","Albany, New York", United States,,,,Indoor Arena
SaskTel Centre,"15,100",Saskatoon, Canada,,,,Indoor Arena
United Supermarkets Arena,"15,098","Lubbock, Texas", United States,,,,Indoor Arena
Minsk-Arena,"15,086",Minsk,Belarus,,,,Indoor Arena
Taipei Arena,"15,085",Taipei,Taiwan,,,,Indoor Arena
Mizzou Arena,"15,061","Columbia, Missouri", United States,,,,Indoor Arena
Intrust Bank Arena,"15,004","Wichita, Kansas", United States,,,,Indoor Arena
ING Arena,"15,000",Brussels, Belgium,,,,Indoor Arena
Olympic Gymnastics Arena,"15,000",Seoul,South Korea,,,,Indoor Arena
Jon M. Huntsman Center,"15,000",Salt Lake City, United States,,,,Indoor Arena
Marine Messe Fukuoka,"15,000",Fukuoka, Japan,,,,Indoor Arena
Arena Jaraguá,"15,000",Jaraguá do Sul,Brazil,,,,Indoor Arena
Ginásio de Esportes Geraldo Magalhães,"15,000",Recife,Brazil,,,,Indoor Arena
Cotai Arena,"15,000",Macau,Macau,,,,Indoor Arena
Coliseo de la Ciudad Deportiva,"15,000",Havana,Cuba,,,,Indoor Arena
Helliniko Olympic Arena,"15,000",Elliniko,Greece,,,,Indoor Arena
Taoyuan Arena,"15,000",Taoyuan,Taiwan,,,,Indoor Arena
Kaohsiung Arena,"15,000",Kaohsiung,Taiwan,,,,Indoor Arena
Hamdan Sports Complex,"15,000",Dubai, United Arab Emirates,,,,Indoor Arena
VFG Arena,"15,000",Guadalajara,Mexico,,,,Indoor Arena
Movistar Arena,"15,000",Buenos Aires,Argentina,,,,Indoor Arena
Dakar Arena,"15,000",Dakar,Senegal,,,,Indoor Arena
Meo Arena,"15,000",Lisbon,Portugal,,,,Indoor Arena
KJC King Dome,"75,000",Davao City,Philippines,Unknown,,,Indoor Arena
DD Arena,"22,296",Pardubice,Czechia,2027 30 ,,,Indoor Arena
Arena Polivalentă,"20,000",Bucharest,Romania,Unknown 31 ,,,Indoor Arena
Palaitalia,"16,000",Milan,Italy,2026 32 ,,,Indoor Arena
Bangkok Arena (Bang Na),"15,000",Bangkok,Thailand,2026 33 ,,,Indoor Arena
